London;England;Europe;Лондон;Англия;Европа
Moscow;Russia;Europe;Москва;Россия;Европа
Saint-Petersburg;Russia;Europe;Санкт-Петербург;Россия;Европа
Berlin;Germany;Europe;Берлин;Германия;Европа
Paris;France;Europe;Париж;Франция;Европа
Barcelona;Spain;Europe;Барселона;Испания;Европа
Madrid;Spain;Europe;Мадрид;Испания;Европа
Tokyo;Japan;Asia;Токио;Япония;Азия
Kyoto;Japan;Asia;Киото;Япония;Азия
Seoul;South Korea;Asia;Сеул;Южная Корея;Азия
Beijing;China;Asia;Пекин;Китай;Азия
Hong-Kong;China;Asia;Гонконг;Китай;Азия
Singapore;Singapore;Asia;Сингапур;Сингапур;Азия
New-York;USA;America;Нью-Йорк;США;Америка
Toronto;Canada;America;Торонто;Канада;Америка
Las-Vegas;USA;America;Лас-Вегас;США;Америка
